,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,Date
1,Russia,All Types,154,81,115,8,358,3/1/2022
1,Russia,All Types,1155,233,849,41,2278,4/1/2022
1,Russia,All Types,1786,266,1209,58,3319,5/1/2022
1,Russia,All Types,2455,316,1362,72,4205,6/1/2022
1,Russia,All Types,2728,330,1361,91,4510,7/1/2022
1,Russia,All Types,3210,323,1396,104,5033,8/1/2022
1,Russia,All Types,3510,301,1454,131,5396,9/1/2022
1,Russia,All Types,4044,303,2103,158,6608,10/1/2022
1,Russia,All Types,4625,292,2462,177,7556,11/1/2022
1,Russia,All Types,5047,301,2653,199,8200,12/1/2022
1,Russia,All Types,5352,303,2687,218,8560,1/1/2023
1,Russia,All Types,5694,306,2759,242,9001,2/1/2023
1,Russia,All Types,6007,376,2788,270,9441,3/1/2023
1,Russia,All Types,6412,384,2845,301,9943,4/1/2023
1,Russia,All Types,6623,388,2804,320,10135,5/1/2023
1,Russia,All Types,6920,404,2823,353,10500,6/1/2023
1,Russia,All Types,7251,407,2832,414,10904,7/1/2023
1,Russia,All Types,7769,420,2854,444,11487,8/1/2023
1,Russia,All Types,8139,445,2869,475,11928,9/1/2023
1,Russia,All Types,8474,457,2882,499,12312,10/1/2023
23,Ukraine,All Types,55,39,53,4,151,3/1/2022
27,Ukraine,All Types,285,37,319,18,659,4/1/2022
25,Ukraine,All Types,449,35,451,22,957,5/1/2022
26,Ukraine,All Types,535,35,528,24,1122,6/1/2022
26,Ukraine,All Types,586,36,548,29,1199,7/1/2022
26,Ukraine,All Types,735,36,593,30,1394,8/1/2022
27,Ukraine,All Types,865,39,602,36,1542,9/1/2022
27,Ukraine,All Types,961,53,614,46,1674,10/1/2022
27,Ukraine,All Types,1222,67,766,74,2129,11/1/2022
27,Ukraine,All Types,1435,64,768,96,2363,12/1/2022
26,Ukraine,All Types,1678,68,819,112,2677,1/1/2023
26,Ukraine,All Types,1821,71,859,134,2885,2/1/2023
26,Ukraine,All Types,1919,76,879,147,3021,3/1/2023
26,Ukraine,All Types,2014,85,878,166,3143,4/1/2023
26,Ukraine,All Types,2095,88,871,189,3243,5/1/2023
26,Ukraine,All Types,2258,95,895,216,3464,6/1/2023
26,Ukraine,All Types,2471,135,917,248,3771,7/1/2023
26,Ukraine,All Types,2689,146,930,301,4066,8/1/2023
26,Ukraine,All Types,2905,148,942,331,4326,9/1/2023
26,Ukraine,All Types,3045,162,958,345,4510,10/1/2023
